                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.59344,                0.47843,                0.86857,                0.99615,                      1,                  0.995,                 0.8954,                0.46625,                0.34606,                0.82561,              0.0015086,              0.0015086,              0.0015086
                     51,                 0.5859,                0.46218,                0.87327,                0.99772,                      1,                  0.995,                 0.9134,                0.43759,                0.34072,                0.81484,              0.0015053,              0.0015053,              0.0015053
                     52,                0.60527,                0.48474,                0.86769,                0.95835,                      1,                  0.995,                0.90778,                0.44927,                0.41159,                0.81934,               0.001502,               0.001502,               0.001502
                     53,                0.59602,                0.46474,                 0.8689,                0.95889,                      1,                  0.995,                0.91113,                  0.449,                0.38002,                 0.8157,              0.0014987,              0.0014987,              0.0014987
                     54,                0.54561,                0.44313,                0.84496,                 0.9856,                      1,                  0.995,                0.91528,                0.45701,                0.35886,                0.81333,              0.0014954,              0.0014954,              0.0014954
                     55,                0.60122,                0.45143,                0.87987,                 0.9776,                      1,                  0.995,                0.89919,                0.45101,                0.35059,                0.81266,              0.0014921,              0.0014921,              0.0014921
                     56,                0.61427,                0.45979,                0.87501,                 0.9934,                      1,                  0.995,                0.90128,                0.45827,                0.34936,                0.81791,              0.0014888,              0.0014888,              0.0014888
                     57,                0.57636,                0.45344,                0.85977,                 0.9929,                      1,                  0.995,                0.91505,                0.42153,                0.33275,                0.81203,              0.0014855,              0.0014855,              0.0014855
                     58,                0.59453,                0.45165,                0.86894,                0.99702,                      1,                  0.995,                0.90493,                0.46336,                0.30301,                0.81659,              0.0014822,              0.0014822,              0.0014822
                     59,                0.58171,                0.42705,                0.85776,                 0.9963,                      1,                  0.995,                0.90803,                0.44879,                0.30247,                0.81655,              0.0014789,              0.0014789,              0.0014789
                     60,                 0.5488,                 0.4209,                0.85712,                 0.9974,                      1,                  0.995,                0.91167,                0.45664,                0.30275,                0.80955,              0.0014756,              0.0014756,              0.0014756
                     61,                0.59486,                0.42887,                0.86551,                0.99644,                      1,                  0.995,                 0.8987,                0.45712,                0.29604,                0.81221,              0.0014723,              0.0014723,              0.0014723
                     62,                0.54786,                0.41767,                0.85827,                0.99708,                      1,                  0.995,                 0.9014,                 0.4328,                0.29729,                0.81056,               0.001469,               0.001469,               0.001469
                     63,                0.53991,                 0.4128,                0.85158,                0.99572,                      1,                  0.995,                0.91524,                0.43575,                0.31181,                0.80983,              0.0014657,              0.0014657,              0.0014657
                     64,                0.53476,                0.41593,                0.86141,                0.99442,                      1,                  0.995,                0.90117,                0.43951,                0.29368,                0.81116,              0.0014624,              0.0014624,              0.0014624
                     65,                0.56874,                0.40283,                0.86091,                 0.9961,                      1,                  0.995,                0.90137,                0.43129,                 0.2755,                0.81108,              0.0014591,              0.0014591,              0.0014591
                     66,                0.55743,                0.41076,                 0.8684,                0.99575,                      1,                  0.995,                0.91806,                0.41454,                0.29087,                0.80795,              0.0014558,              0.0014558,              0.0014558
                     67,                0.57057,                 0.4344,                0.87319,                 0.9956,                      1,                  0.995,                0.91779,                0.41338,                0.30217,                0.80777,              0.0014525,              0.0014525,              0.0014525
                     68,                0.56674,                0.41946,                0.85836,                0.99596,                      1,                  0.995,                0.91508,                0.42523,                0.28931,                0.80838,              0.0014492,              0.0014492,              0.0014492
                     69,                0.56669,                0.40743,                0.86973,                0.99744,                      1,                  0.995,                 0.9139,                0.41829,                0.28871,                0.80861,              0.0014459,              0.0014459,              0.0014459
                     70,                0.58704,                0.43236,                0.87751,                0.99721,                      1,                  0.995,                 0.9086,                0.41875,                0.28735,                0.80767,              0.0014426,              0.0014426,              0.0014426
                     71,                0.53168,                0.39269,                0.85096,                0.99569,                      1,                  0.995,                0.90861,                0.42727,                0.28489,                0.80591,              0.0014393,              0.0014393,              0.0014393
                     72,                0.58602,                0.42636,                0.86124,                0.99732,                      1,                  0.995,                0.90734,                0.45704,                0.30495,                0.81484,               0.001436,               0.001436,               0.001436
                     73,                0.57886,                0.41196,                0.85742,                0.99663,                      1,                  0.995,                0.91493,                0.42522,                0.28952,                0.81054,              0.0014327,              0.0014327,              0.0014327
                     74,                0.53982,                0.39297,                 0.8539,                 0.9968,                      1,                  0.995,                0.90474,                0.43848,                0.27778,                0.81324,              0.0014294,              0.0014294,              0.0014294
                     75,                0.54724,                0.40616,                 0.8623,                0.99692,                      1,                  0.995,                0.91321,                0.42631,                 0.2728,                0.81324,              0.0014261,              0.0014261,              0.0014261
                     76,                0.55607,                0.41769,                0.85828,                0.99594,                      1,                  0.995,                0.89907,                0.45753,                0.30444,                 0.8141,              0.0014228,              0.0014228,              0.0014228
                     77,                0.57301,                0.42549,                0.86263,                 0.9946,                      1,                  0.995,                0.89217,                0.49961,                0.32026,                0.82102,              0.0014195,              0.0014195,              0.0014195
                     78,                0.57858,                0.42937,                0.88238,                0.99609,                      1,                  0.995,                0.90248,                0.48318,                0.31256,                0.81811,              0.0014161,              0.0014161,              0.0014161
                     79,                 0.5342,                0.39839,                0.86645,                0.99732,                      1,                  0.995,                0.89669,                0.47975,                0.29544,                0.82119,              0.0014128,              0.0014128,              0.0014128
                     80,                0.57895,                0.43019,                0.86052,                0.98646,                0.99856,                  0.995,                0.88862,                0.48105,                 0.3162,                0.81897,              0.0014095,              0.0014095,              0.0014095
                     81,                0.56892,                0.41356,                0.86262,                0.99627,                      1,                  0.995,                0.89304,                0.47885,                 0.3092,                 0.8224,              0.0014062,              0.0014062,              0.0014062
                     82,                0.53482,                 0.3826,                0.86297,                0.99665,                      1,                  0.995,                0.90296,                0.43626,                0.28423,                0.81198,              0.0014029,              0.0014029,              0.0014029
                     83,                 0.5604,                0.39657,                0.85646,                0.99748,                      1,                  0.995,                0.90371,                0.45777,                0.28915,                0.81554,              0.0013996,              0.0013996,              0.0013996
                     84,                0.57831,                0.41394,                0.87059,                0.99686,                      1,                  0.995,                0.90073,                0.46398,                0.28707,                0.81394,              0.0013963,              0.0013963,              0.0013963
                     85,                 0.5445,                 0.3919,                0.86227,                0.99767,                      1,                  0.995,                 0.8991,                0.48458,                0.28674,                0.81499,               0.001393,               0.001393,               0.001393
                     86,                0.53515,                0.38096,                0.84838,                0.99743,                      1,                  0.995,                0.90613,                0.45876,                0.27506,                0.81078,              0.0013897,              0.0013897,              0.0013897
                     87,                0.58406,                0.40602,                0.86534,                0.99665,                      1,                  0.995,                 0.8966,                0.49025,                0.28909,                0.81607,              0.0013864,              0.0013864,              0.0013864
                     88,                 0.5663,                0.40767,                0.87825,                0.99677,                      1,                  0.995,                0.90101,                0.45702,                 0.2865,                0.81397,              0.0013831,              0.0013831,              0.0013831
                     89,                0.53555,                0.37284,                0.85439,                0.99753,                      1,                  0.995,                0.90955,                0.46144,                0.28327,                0.81848,              0.0013798,              0.0013798,              0.0013798
                     90,                0.52698,                0.38775,                 0.8462,                0.99581,                      1,                  0.995,                 0.9189,                0.42282,                0.26883,                0.80777,              0.0013765,              0.0013765,              0.0013765
                     91,                0.54909,                0.38389,                0.85475,                0.99596,                      1,                  0.995,                0.91319,                0.44816,                0.28037,                0.81385,              0.0013732,              0.0013732,              0.0013732
                     92,                0.56445,                0.39422,                0.87193,                0.99667,                      1,                  0.995,                0.91235,                0.45119,                 0.2645,                 0.8154,              0.0013699,              0.0013699,              0.0013699
                     93,                0.53162,                0.36593,                0.85533,                0.99776,                      1,                  0.995,                0.91049,                0.44144,                0.26719,                0.81153,              0.0013666,              0.0013666,              0.0013666
                     94,                0.55516,                0.39199,                0.85949,                 0.9965,                      1,                  0.995,                0.91039,                0.42149,                 0.2754,                0.80824,              0.0013633,              0.0013633,              0.0013633
                     95,                0.56903,                0.38149,                0.86284,                 0.9963,                      1,                  0.995,                0.90655,                0.45599,                0.27729,                0.81715,                0.00136,                0.00136,                0.00136
                     96,                0.56441,                0.38351,                0.85716,                0.99664,                      1,                  0.995,                0.92233,                0.40995,                0.26023,                0.80394,              0.0013567,              0.0013567,              0.0013567
                     97,                0.54216,                0.35513,                0.84454,                0.99729,                      1,                  0.995,                 0.9079,                0.42337,                0.27247,                0.80662,              0.0013534,              0.0013534,              0.0013534
                     98,                0.57601,                0.37106,                 0.8586,                0.99768,                      1,                  0.995,                 0.8991,                0.43507,                0.27048,                0.81274,              0.0013501,              0.0013501,              0.0013501
                     99,                0.54326,                 0.3672,                0.85389,                0.99746,                      1,                  0.995,                0.90872,                0.42039,                0.25601,                0.80573,              0.0013468,              0.0013468,              0.0013468
                    100,                0.53544,                0.37761,                0.85422,                 0.9973,                      1,                  0.995,                0.89857,                0.43041,                0.25256,                0.81753,              0.0013435,              0.0013435,              0.0013435
                    101,                0.52315,                0.36283,                0.84231,                0.99641,                      1,                  0.995,                 0.9319,                0.40062,                 0.2386,                0.81112,              0.0013402,              0.0013402,              0.0013402
                    102,                0.51876,                0.35887,                0.84178,                0.99638,                      1,                  0.995,                 0.9201,                0.42125,                0.25942,                0.81481,              0.0013369,              0.0013369,              0.0013369
                    103,                0.55742,                 0.3726,                0.86063,                0.99711,                      1,                  0.995,                 0.9216,                0.42222,                0.25505,                0.81338,              0.0013336,              0.0013336,              0.0013336
                    104,                0.52288,                0.36447,                0.85127,                0.99685,                      1,                  0.995,                0.90264,                0.46737,                 0.2688,                0.81274,              0.0013303,              0.0013303,              0.0013303
                    105,                0.52611,                0.35306,                0.84641,                0.99775,                      1,                  0.995,                0.91088,                 0.4748,                0.28027,                0.81621,               0.001327,               0.001327,               0.001327
                    106,                0.54425,                0.35942,                0.85293,                0.99781,                      1,                  0.995,                0.90989,                0.43418,                0.25631,                 0.8112,              0.0013237,              0.0013237,              0.0013237
                    107,                0.53522,                0.34311,                0.85242,                0.99725,                      1,                  0.995,                0.92126,                0.41153,                0.25086,                0.80475,              0.0013204,              0.0013204,              0.0013204
                    108,                0.53086,                0.35553,                0.85616,                0.99744,                      1,                  0.995,                 0.9031,                0.45053,                0.27284,                0.80854,              0.0013171,              0.0013171,              0.0013171
                    109,                0.52307,                0.35989,                0.84686,                0.99775,                      1,                  0.995,                0.90381,                  0.452,                0.26078,                0.80769,              0.0013138,              0.0013138,              0.0013138
                    110,                  0.522,                0.35122,                0.84954,                0.99784,                      1,                  0.995,                0.90238,                0.46392,                0.25485,                 0.8145,              0.0013105,              0.0013105,              0.0013105
                    111,                0.54907,                0.38748,                0.85373,                0.99767,                      1,                  0.995,                 0.9078,                0.46768,                0.26124,                0.81614,              0.0013072,              0.0013072,              0.0013072
                    112,                0.56088,                0.39588,                0.87094,                0.99616,                      1,                  0.995,                0.91861,                 0.4347,                0.25468,                0.81156,              0.0013039,              0.0013039,              0.0013039
                    113,                0.51776,                 0.3464,                 0.8568,                0.99753,                      1,                  0.995,                0.91234,                0.46181,                0.25532,                0.81878,              0.0013006,              0.0013006,              0.0013006
                    114,                 0.5357,                 0.3595,                 0.8401,                0.99612,                      1,                  0.995,                0.91369,                0.44523,                0.26394,                0.81213,              0.0012973,              0.0012973,              0.0012973
                    115,                0.50797,                0.34052,                0.84845,                0.99738,                      1,                  0.995,                0.91598,                0.43559,                0.25397,                0.81389,               0.001294,               0.001294,               0.001294
                    116,                0.51279,                0.35068,                0.84236,                0.99732,                      1,                  0.995,                0.91349,                0.45188,                0.25032,                0.81432,              0.0012907,              0.0012907,              0.0012907
                    117,                0.52062,                 0.3581,                0.84469,                0.99759,                      1,                  0.995,                0.92366,                0.42242,                0.24856,                0.80738,              0.0012874,              0.0012874,              0.0012874
                    118,                0.48577,                0.33163,                 0.8293,                0.99769,                      1,                  0.995,                0.91576,                  0.417,                0.24678,                0.80925,              0.0012841,              0.0012841,              0.0012841
                    119,                0.51614,                0.34218,                0.84424,                0.99729,                      1,                  0.995,                0.90869,                0.43302,                0.26107,                0.81293,              0.0012808,              0.0012808,              0.0012808
                    120,                0.53157,                0.35307,                0.84626,                0.99681,                      1,                  0.995,                0.92426,                0.41111,                0.24886,                0.80742,              0.0012775,              0.0012775,              0.0012775
                    121,                 0.5406,                0.36995,                0.86743,                0.99773,                      1,                  0.995,                0.91475,                0.44046,                0.26104,                0.80933,              0.0012742,              0.0012742,              0.0012742
                    122,                0.52772,                0.36085,                 0.8541,                 0.9977,                      1,                  0.995,                0.91791,                0.42934,                0.26138,                0.80955,              0.0012709,              0.0012709,              0.0012709
                    123,                  0.549,                0.35218,                0.85717,                0.99737,                      1,                  0.995,                0.91241,                0.44903,                0.26619,                0.81311,              0.0012676,              0.0012676,              0.0012676
                    124,                0.52836,                0.36253,                0.85066,                0.99781,                      1,                  0.995,                0.89994,                0.45809,                0.26082,                0.81383,              0.0012643,              0.0012643,              0.0012643
                    125,                0.48276,                0.33067,                 0.8364,                0.99786,                      1,                  0.995,                0.90788,                 0.4228,                0.24124,                0.81017,               0.001261,               0.001261,               0.001261
                    126,                0.48005,                0.32745,                0.84133,                0.99754,                      1,                  0.995,                0.92808,                0.40801,                0.23677,                0.80377,              0.0012577,              0.0012577,              0.0012577
                    127,                0.50752,                 0.3237,                0.83976,                0.99734,                      1,                  0.995,                0.91743,                0.43786,                0.24396,                 0.8104,              0.0012544,              0.0012544,              0.0012544
                    128,                0.50933,                0.32215,                0.85004,                0.99761,                      1,                  0.995,                0.92351,                0.40284,                0.22338,                0.80745,              0.0012511,              0.0012511,              0.0012511
                    129,                0.52417,                0.33723,                0.85006,                0.99782,                      1,                  0.995,                0.92594,                0.40632,                0.22417,                0.80685,              0.0012478,              0.0012478,              0.0012478
                    130,                0.50237,                0.34632,                0.84976,                0.99754,                      1,                  0.995,                0.91936,                0.42035,                0.22004,                0.81031,              0.0012445,              0.0012445,              0.0012445
                    131,                0.48883,                0.32329,                0.83914,                0.99752,                      1,                  0.995,                0.93255,                0.38936,                0.21338,                0.80358,              0.0012412,              0.0012412,              0.0012412
                    132,                0.51435,                0.33925,                0.85458,                 0.9977,                      1,                  0.995,                0.92782,                0.38956,                0.23389,                  0.804,              0.0012379,              0.0012379,              0.0012379
                    133,                 0.5198,                0.34099,                 0.8657,                0.99774,                      1,                  0.995,                0.92135,                0.41131,                0.23283,                0.80666,              0.0012346,              0.0012346,              0.0012346
                    134,                0.53196,                0.34045,                 0.8632,                0.99764,                      1,                  0.995,                 0.9054,                0.44046,                0.22782,                0.81126,              0.0012313,              0.0012313,              0.0012313
                    135,                0.52463,                0.33608,                0.85216,                0.99784,                      1,                  0.995,                0.92182,                0.40872,                0.22251,                 0.8078,               0.001228,               0.001228,               0.001228
