                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.54534,                0.50102,                0.99164,                  0.987,                      1,                  0.995,                0.86592,                0.47674,                0.50144,                0.92767,              0.0015053,              0.0015053,              0.0015053
                     52,                0.56075,                0.52015,                0.98289,                0.98083,                      1,                  0.995,                0.87597,                 0.5261,                0.44747,                0.99459,               0.001502,               0.001502,               0.001502
                     53,                0.54896,                0.49471,                 0.9495,                0.98353,                      1,                  0.995,                0.86632,                0.51639,                0.41662,                 1.0472,              0.0014987,              0.0014987,              0.0014987
                     54,                0.57307,                0.57035,                0.98548,                0.98592,                      1,                  0.995,                0.84863,                0.54313,                0.39455,                 1.0876,              0.0014954,              0.0014954,              0.0014954
                     55,                0.52311,                0.48362,                0.94211,                0.97645,                      1,                  0.995,                0.88316,                0.55738,                0.41665,                  1.091,              0.0014921,              0.0014921,              0.0014921
                     56,                0.54229,                0.51404,                0.96937,                0.98699,                      1,                  0.995,                0.88677,                0.48641,                0.37517,                 1.0075,              0.0014888,              0.0014888,              0.0014888
                     57,                 0.5279,                0.47096,                0.96796,                0.98436,                      1,                  0.995,                0.86454,                 0.5406,                0.42523,                 1.0514,              0.0014855,              0.0014855,              0.0014855
                     58,                0.52487,                0.46477,                0.94445,                0.98641,                      1,                  0.995,                0.82821,                0.61143,                0.39886,                 1.0877,              0.0014822,              0.0014822,              0.0014822
                     59,                 0.5567,                0.52293,                0.95336,                0.99072,                      1,                  0.995,                0.90019,                0.60622,                0.40194,                 1.0328,              0.0014789,              0.0014789,              0.0014789
                     60,                0.51009,                 0.4739,                0.92633,                0.98946,                      1,                  0.995,                 0.9137,                0.47344,                0.38851,                0.93273,              0.0014756,              0.0014756,              0.0014756
                     61,                0.52219,                0.49024,                0.95815,                0.86504,                0.99455,                0.96167,                0.86643,                0.55759,                0.45882,                 1.0402,              0.0014723,              0.0014723,              0.0014723
                     62,                0.53351,                0.46796,                0.96341,                0.97333,                      1,                  0.995,                0.84951,                0.58464,                0.43023,                 1.0643,               0.001469,               0.001469,               0.001469
                     63,                0.52333,                0.45403,                0.97447,                0.97722,                      1,                  0.995,                 0.8956,                0.50561,                0.39841,                0.98204,              0.0014657,              0.0014657,              0.0014657
                     64,                0.51656,                0.47882,                 0.9533,                0.98914,                      1,                  0.995,                0.87506,                0.42162,                0.34658,                0.90928,              0.0014624,              0.0014624,              0.0014624
                     65,                0.51675,                0.47399,                0.95583,                0.99144,                      1,                  0.995,                0.87884,                0.52037,                0.40808,                0.97843,              0.0014591,              0.0014591,              0.0014591
                     66,                0.52055,                0.45289,                0.93929,                0.98249,                      1,                  0.995,                0.89775,                0.51386,                0.39183,                  1.057,              0.0014558,              0.0014558,              0.0014558
                     67,                 0.5502,                 0.4771,                0.98718,                0.98491,                0.98045,                  0.995,                  0.844,                0.54798,                0.42054,                 1.1207,              0.0014525,              0.0014525,              0.0014525
                     68,                0.51248,                0.45675,                0.94564,                0.97106,                      1,                  0.995,                0.76916,                0.76774,                0.41571,                 1.3803,              0.0014492,              0.0014492,              0.0014492
                     69,                0.52173,                0.45096,                0.94046,                0.98425,                      1,                  0.995,                0.82712,                0.60363,                0.41889,                 1.1821,              0.0014459,              0.0014459,              0.0014459
                     70,                 0.5152,                0.43756,                 0.9385,                0.98321,                      1,                  0.995,                0.89536,                0.51425,                0.43919,                  1.156,              0.0014426,              0.0014426,              0.0014426
                     71,                 0.5341,                0.44615,                0.96694,                0.98493,                      1,                  0.995,                0.88866,                0.51684,                0.37938,                  1.133,              0.0014393,              0.0014393,              0.0014393
                     72,                0.47326,                0.41809,                0.91964,                0.98399,                      1,                  0.995,                0.82136,                0.58365,                0.39335,                 1.1641,               0.001436,               0.001436,               0.001436
                     73,                0.49065,                0.41167,                0.93518,                0.98218,                      1,                  0.995,                0.84376,                0.60366,                0.33447,                 1.1565,              0.0014327,              0.0014327,              0.0014327
                     74,                0.51956,                0.42924,                0.94524,                 0.9858,                      1,                  0.995,                0.89887,                0.44188,                 0.3774,                0.90316,              0.0014294,              0.0014294,              0.0014294
                     75,                0.50836,                0.43219,                0.96149,                0.98903,                      1,                  0.995,                 0.9435,                0.40559,                0.31779,                0.90469,              0.0014261,              0.0014261,              0.0014261
                     76,                0.48628,                0.43004,                0.92056,                0.99141,                      1,                  0.995,                0.93636,                0.42686,                 0.3592,                0.91207,              0.0014228,              0.0014228,              0.0014228
                     77,                0.47257,                0.43229,                0.94242,                0.98529,                      1,                  0.995,                0.90417,                0.46713,                 0.3358,                 1.0335,              0.0014195,              0.0014195,              0.0014195
                     78,                0.50672,                0.42053,                0.95153,                0.98173,                      1,                  0.995,                0.84582,                0.54587,                0.35948,                 1.1344,              0.0014161,              0.0014161,              0.0014161
                     79,                  0.464,                0.41269,                0.93773,                0.97123,                      1,                  0.995,                0.81259,                0.60998,                0.36995,                 1.1533,              0.0014128,              0.0014128,              0.0014128
                     80,                 0.4711,                0.40567,                0.90873,                0.98258,                      1,                  0.995,                0.88031,                0.46634,                0.30341,                 1.0725,              0.0014095,              0.0014095,              0.0014095
                     81,                0.47768,                 0.4334,                0.93516,                0.98349,                      1,                  0.995,                0.90777,                0.41553,                0.28188,                 1.0397,              0.0014062,              0.0014062,              0.0014062
                     82,                0.47989,                0.39781,                0.93076,                0.98754,                      1,                  0.995,                0.90111,                0.48045,                0.30973,                 1.0321,              0.0014029,              0.0014029,              0.0014029
                     83,                0.48165,                0.41011,                0.91938,                0.94705,                      1,                  0.995,                0.88385,                0.38233,                0.41243,                 0.9131,              0.0013996,              0.0013996,              0.0013996
                     84,                0.49064,                0.40679,                0.94091,                0.98598,                      1,                  0.995,                0.93562,                0.37491,                0.31668,                0.88073,              0.0013963,              0.0013963,              0.0013963
                     85,                0.48174,                0.42396,                0.93696,                0.98192,                      1,                  0.995,                 0.9418,                0.36325,                0.35159,                 0.8923,               0.001393,               0.001393,               0.001393
                     86,                0.46978,                0.38028,                 0.9369,                0.97162,                      1,                  0.995,                0.93147,                0.43332,                0.43478,                0.94186,              0.0013897,              0.0013897,              0.0013897
                     87,                0.44077,                0.39271,                0.91711,                0.97354,                      1,                  0.995,                0.87888,                0.47449,                0.47537,                0.98437,              0.0013864,              0.0013864,              0.0013864
                     88,                0.45241,                0.37418,                0.91452,                 0.9716,                      1,                  0.995,                0.88827,                0.48606,                0.51082,                 1.0745,              0.0013831,              0.0013831,              0.0013831
                     89,                0.46836,                0.40112,                0.93349,                0.97641,                      1,                  0.995,                0.87581,                 0.4878,                0.57608,                 1.0992,              0.0013798,              0.0013798,              0.0013798
                     90,                0.47391,                0.38587,                0.92859,                0.89339,                      1,                  0.945,                0.79413,                0.50172,                0.64475,                 1.0971,              0.0013765,              0.0013765,              0.0013765
                     91,                0.46758,                0.41604,                0.92329,                0.97031,                      1,                  0.995,                0.87387,                0.52116,                0.54134,                 1.1142,              0.0013732,              0.0013732,              0.0013732
                     92,                0.46411,                0.38582,                0.93916,                0.98936,                      1,                  0.995,                0.88777,                0.48705,                0.28677,                 1.0747,              0.0013699,              0.0013699,              0.0013699
                     93,                0.47075,                0.38051,                0.92867,                0.98773,                      1,                  0.995,                0.92627,                0.36027,                0.26352,                0.89195,              0.0013666,              0.0013666,              0.0013666
                     94,                0.48591,                0.40797,                0.93118,                0.98773,                      1,                  0.995,                0.94617,                0.36041,                0.28852,                0.89371,              0.0013633,              0.0013633,              0.0013633
                     95,                0.44912,                0.39515,                0.92443,                0.98562,                      1,                  0.995,                 0.9511,                 0.3525,                 0.2925,                0.89354,                0.00136,                0.00136,                0.00136
                     96,                0.45205,                0.40694,                0.92207,                0.98676,                      1,                  0.995,                0.93257,                0.35639,                0.28545,                0.89646,              0.0013567,              0.0013567,              0.0013567
                     97,                0.46988,                0.39417,                0.93796,                0.98877,                      1,                  0.995,                0.93969,                0.38711,                 0.2999,                0.90201,              0.0013534,              0.0013534,              0.0013534
                     98,                0.47204,                0.40126,                0.94795,                0.98791,                      1,                  0.995,                0.88529,                0.49639,                0.32798,                 1.0532,              0.0013501,              0.0013501,              0.0013501
                     99,                0.47266,                0.38016,                0.94692,                0.98566,                      1,                  0.995,                0.86438,                0.48287,                 0.3454,                 1.0773,              0.0013468,              0.0013468,              0.0013468
                    100,                0.43474,                0.38209,                0.92621,                0.98361,                      1,                  0.995,                0.86066,                0.48447,                0.29735,                 1.0702,              0.0013435,              0.0013435,              0.0013435
                    101,                 0.4406,                0.38623,                0.92308,                0.98454,                      1,                  0.995,                0.85045,                0.52262,                0.34154,                 1.0749,              0.0013402,              0.0013402,              0.0013402
                    102,                0.46739,                0.41843,                0.92258,                0.98846,                      1,                  0.995,                0.87773,                0.48517,                0.31694,                 1.0481,              0.0013369,              0.0013369,              0.0013369
                    103,                0.46767,                0.39964,                0.94368,                0.98937,                      1,                  0.995,                0.88176,                0.47897,                0.34248,                 1.0338,              0.0013336,              0.0013336,              0.0013336
                    104,                0.45051,                0.37811,                0.92483,                0.98751,                      1,                  0.995,                0.84136,                0.52505,                0.36978,                 1.0591,              0.0013303,              0.0013303,              0.0013303
                    105,                 0.4272,                0.35056,                0.90437,                0.98605,                      1,                  0.995,                0.85487,                0.50801,                0.34679,                 1.0652,               0.001327,               0.001327,               0.001327
                    106,                0.43088,                0.35345,                0.90526,                0.98559,                      1,                  0.995,                0.85382,                 0.5065,                0.37206,                0.97648,              0.0013237,              0.0013237,              0.0013237
                    107,                0.43285,                0.36189,                 0.9199,                 0.9807,                      1,                  0.995,                0.86462,                  0.552,                 0.3716,                 1.0376,              0.0013204,              0.0013204,              0.0013204
                    108,                0.42932,                0.36836,                0.91142,                0.96818,                      1,                  0.995,                0.88575,                0.54176,                0.38051,                 1.0391,              0.0013171,              0.0013171,              0.0013171
                    109,                0.45678,                0.37425,                0.92076,                0.97045,                      1,                  0.995,                0.88732,                0.55036,                0.47901,                 1.0821,              0.0013138,              0.0013138,              0.0013138
                    110,                0.42366,                0.36686,                0.90968,                  0.967,                      1,                  0.995,                0.81402,                0.58242,                   0.62,                 1.1236,              0.0013105,              0.0013105,              0.0013105
                    111,                0.44555,                 0.3769,                0.90735,                0.96169,                      1,                  0.995,                0.85287,                0.47228,                0.58983,                0.95704,              0.0013072,              0.0013072,              0.0013072
                    112,                0.42191,                 0.3596,                0.90564,                 0.9827,                      1,                  0.995,                 0.9447,                0.39054,                0.30928,                0.90248,              0.0013039,              0.0013039,              0.0013039
                    113,                0.44267,                 0.3775,                0.91704,                0.98676,                      1,                  0.995,                0.94934,                0.38914,                0.26661,                0.89887,              0.0013006,              0.0013006,              0.0013006
                    114,                0.46603,                0.37264,                0.95461,                0.98834,                      1,                  0.995,                0.92861,                0.40347,                0.28642,                0.90179,              0.0012973,              0.0012973,              0.0012973
                    115,                0.44282,                0.38282,                0.91662,                0.99056,                      1,                  0.995,                 0.9177,                0.40382,                0.28095,                0.89664,               0.001294,               0.001294,               0.001294
                    116,                0.43268,                0.35748,                0.91369,                0.98667,                      1,                  0.995,                0.92266,                0.42105,                 0.2639,                0.90996,              0.0012907,              0.0012907,              0.0012907
                    117,                0.44473,                0.36162,                0.92875,                0.98357,                      1,                  0.995,                0.88928,                0.46145,                0.27868,                0.92841,              0.0012874,              0.0012874,              0.0012874
                    118,                0.45465,                0.36102,                0.92012,                0.98361,                      1,                  0.995,                0.90116,                0.44791,                0.33397,                0.92113,              0.0012841,              0.0012841,              0.0012841
                    119,                0.45038,                0.38233,                0.93379,                0.98279,                0.99989,                  0.995,                0.94323,                 0.4451,                0.41759,                0.93447,              0.0012808,              0.0012808,              0.0012808
                    120,                0.41521,                0.35391,                0.91661,                0.81416,                      1,                0.94643,                0.84923,                 0.4712,                0.44665,                 0.9785,              0.0012775,              0.0012775,              0.0012775
                    121,                0.42703,                0.34366,                0.91047,                0.98268,                      1,                  0.995,                0.86095,                0.52579,                0.28685,                 1.0212,              0.0012742,              0.0012742,              0.0012742
                    122,                0.46363,                0.38518,                0.96368,                0.98471,                      1,                  0.995,                 0.8698,                0.48406,                0.26245,                 1.0414,              0.0012709,              0.0012709,              0.0012709
                    123,                0.42856,                0.35638,                0.90582,                0.98497,                      1,                  0.995,                0.89081,                0.50049,                0.28366,                  1.052,              0.0012676,              0.0012676,              0.0012676
                    124,                0.44714,                 0.3711,                0.91892,                0.98201,                      1,                  0.995,                 0.9084,                0.53164,                0.30574,                 1.0348,              0.0012643,              0.0012643,              0.0012643
                    125,                0.45146,                0.34209,                  0.944,                0.98523,                      1,                  0.995,                0.87038,                0.59002,                0.31373,                 1.0783,               0.001261,               0.001261,               0.001261
                    126,                0.41226,                 0.3428,                0.89637,                0.99054,                      1,                  0.995,                0.86871,                0.59074,                0.32685,                 1.0925,              0.0012577,              0.0012577,              0.0012577
                    127,                0.44942,                0.37513,                0.94354,                0.99063,                      1,                  0.995,                0.85248,                0.54796,                0.32993,                  1.087,              0.0012544,              0.0012544,              0.0012544
                    128,                0.44016,                 0.3607,                0.92735,                0.98873,                      1,                  0.995,                0.87802,                0.51008,                0.27691,                 1.0627,              0.0012511,              0.0012511,              0.0012511
                    129,                0.42034,                0.34869,                 0.9111,                0.98776,                      1,                  0.995,                0.90145,                 0.5076,                0.27387,                 1.0638,              0.0012478,              0.0012478,              0.0012478
                    130,                0.41959,                0.36936,                0.91037,                0.98828,                      1,                  0.995,                0.91697,                0.50098,                0.27966,                 1.0545,              0.0012445,              0.0012445,              0.0012445
                    131,                0.41231,                0.35872,                0.91829,                 0.9886,                      1,                  0.995,                0.91239,                 0.4853,                0.29583,                 1.0463,              0.0012412,              0.0012412,              0.0012412
                    132,                0.42052,                 0.3593,                0.91041,                0.98917,                      1,                  0.995,                0.89804,                0.48126,                0.29941,                 1.0517,              0.0012379,              0.0012379,              0.0012379
                    133,                0.40947,                0.34717,                0.90008,                0.99166,                      1,                  0.995,                0.91177,                 0.5125,                0.29372,                 1.0797,              0.0012346,              0.0012346,              0.0012346
                    134,                0.43748,                0.34952,                0.92619,                0.99044,                      1,                  0.995,                0.89345,                0.50183,                0.26981,                 1.0822,              0.0012313,              0.0012313,              0.0012313
                    135,                0.39308,                0.33461,                0.89713,                0.98635,                      1,                  0.995,                0.87081,                0.51693,                0.32526,                  1.098,               0.001228,               0.001228,               0.001228
                    136,                0.44483,                0.37627,                0.93374,                0.98732,                      1,                  0.995,                0.86841,                0.51945,                0.32558,                 1.0894,              0.0012247,              0.0012247,              0.0012247
                    137,                0.43964,                0.36969,                0.92679,                 0.9848,                      1,                  0.995,                0.86087,                0.57561,                0.28894,                 1.1054,              0.0012214,              0.0012214,              0.0012214
                    138,                0.40364,                0.34003,                0.91235,                0.98668,                      1,                  0.995,                0.88377,                0.55313,                0.31344,                 1.0955,              0.0012181,              0.0012181,              0.0012181
                    139,                0.43237,                0.35702,                0.92506,                0.98306,                      1,                  0.995,                0.88914,                0.49066,                0.32784,                 1.0664,              0.0012148,              0.0012148,              0.0012148
                    140,                0.44066,                0.34699,                0.91541,                0.98219,                      1,                  0.995,                0.86465,                0.51436,                0.32923,                  1.068,              0.0012115,              0.0012115,              0.0012115
                    141,                0.41219,                0.33429,                0.90897,                0.98379,                      1,                  0.995,                 0.8646,                0.54378,                0.33173,                 1.0713,              0.0012082,              0.0012082,              0.0012082
                    142,                0.41873,                0.35508,                0.90808,                0.98619,                      1,                  0.995,                0.90663,                 0.4662,                0.28393,                 1.0527,              0.0012049,              0.0012049,              0.0012049
                    143,                0.39826,                0.33079,                0.90454,                0.98776,                      1,                  0.995,                0.91894,                0.42779,                 0.2696,                  1.038,              0.0012016,              0.0012016,              0.0012016
                    144,                0.37642,                0.32823,                0.89504,                0.98606,                      1,                  0.995,                0.88735,                 0.4563,                0.29062,                 1.0445,              0.0011983,              0.0011983,              0.0011983
                    145,                0.40117,                0.34401,                0.89783,                 0.9861,                      1,                  0.995,                0.89616,                0.46082,                0.27041,                 1.0678,               0.001195,               0.001195,               0.001195
