                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.69618,                0.79437,                0.91626,                0.92218,                0.87947,                0.91396,                0.69527,                0.80517,                 0.7657,                  0.918,             0.00037299,             0.00037299,             0.00037299
                     75,                0.68392,                0.74784,                0.90232,                0.91835,                0.88135,                0.91562,                0.69294,                0.82177,                0.77052,                0.91751,             0.00037213,             0.00037213,             0.00037213
                     76,                0.66024,                0.77046,                0.89069,                0.92133,                0.83204,                0.90345,                  0.699,                0.81178,                0.79213,                0.92228,             0.00037126,             0.00037126,             0.00037126
                     77,                 0.6737,                0.76957,                 0.9162,                0.88441,                0.83371,                  0.894,                0.68865,                0.81164,                0.80293,                0.92197,              0.0003704,              0.0003704,              0.0003704
                     78,                0.65827,                0.74678,                0.90993,                0.90603,                 0.8175,                0.90487,                0.69357,                0.82092,                0.83202,                0.93492,             0.00036954,             0.00036954,             0.00036954
                     79,                0.69287,                0.75934,                0.90062,                0.91741,                0.84552,                0.92748,                0.70283,                0.83696,                0.78028,                0.94097,             0.00036868,             0.00036868,             0.00036868
                     80,                0.65788,                0.74167,                0.90065,                0.89207,                0.83531,                0.93604,                0.71355,                0.80974,                0.75838,                0.92941,             0.00036782,             0.00036782,             0.00036782
                     81,                0.66006,                0.72213,                0.89649,                 0.8955,                0.83263,                0.92734,                0.71317,                0.80321,                0.76717,                0.92199,             0.00036696,             0.00036696,             0.00036696
                     82,                0.66615,                0.75523,                0.89979,                0.88422,                0.83463,                0.91709,                 0.7049,                0.79463,                0.74108,                0.90676,              0.0003661,              0.0003661,              0.0003661
                     83,                0.68282,                0.76764,                0.91194,                0.78799,                0.87511,                0.90327,                0.68293,                0.85944,                0.76826,                0.92937,             0.00036523,             0.00036523,             0.00036523
                     84,                0.66638,                0.77082,                0.90408,                0.87023,                0.83512,                0.90029,                 0.6768,                0.82217,                0.76431,                 0.9282,             0.00036437,             0.00036437,             0.00036437
                     85,                0.65288,                 0.7515,                 0.9105,                0.87196,                0.82864,                0.89752,                0.66722,                0.84935,                0.76954,                 0.9417,             0.00036351,             0.00036351,             0.00036351
