                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.76796,                0.87073,                0.93683,                0.91032,                0.72441,                0.97071,                 0.8208,                0.63077,                  1.713,                0.88747,              0.0011263,              0.0011263,              0.0011263
                     52,                 0.6899,                0.79284,                 0.9148,                0.74934,                0.87071,                0.93786,                0.81639,                0.59211,                 1.5024,                0.87078,              0.0011263,              0.0011263,              0.0011263
                     53,                0.72872,                0.76667,                0.91738,                0.74934,                0.87071,                0.93786,                0.81639,                0.59211,                 1.5024,                0.87078,              0.0011238,              0.0011238,              0.0011238
                     54,                0.80526,                0.96433,                0.94113,                0.80056,                      1,                0.98667,                 0.8472,                0.60763,                 1.2519,                0.87877,              0.0011213,              0.0011213,              0.0011213
                     55,                0.73606,                0.83907,                0.91389,                0.80056,                      1,                0.98667,                 0.8472,                0.60763,                 1.2519,                0.87877,              0.0011188,              0.0011188,              0.0011188
                     56,                 0.7741,                0.82611,                0.94352,                0.89225,                      1,                  0.995,                0.87801,                0.55704,                 1.1701,                0.87523,              0.0011164,              0.0011164,              0.0011164
                     57,                0.80364,                0.84682,                0.92839,                0.89225,                      1,                  0.995,                0.87801,                0.55704,                 1.1701,                0.87523,              0.0011139,              0.0011139,              0.0011139
                     58,                0.78722,                0.84831,                0.94462,                0.84435,                 0.8794,                  0.995,                0.88149,                0.50228,                 1.1624,                0.85316,              0.0011114,              0.0011114,              0.0011114
                     59,                  0.743,                0.85908,                0.94129,                0.84435,                 0.8794,                  0.995,                0.88149,                0.50228,                 1.1624,                0.85316,              0.0011089,              0.0011089,              0.0011089
                     60,                 0.7375,                 0.8235,                 0.9385,                0.80187,                      1,                  0.995,                0.88399,                0.52553,                 1.0603,                0.85125,              0.0011065,              0.0011065,              0.0011065
                     61,                0.70092,                0.82505,                0.91231,                0.80187,                      1,                  0.995,                0.88399,                0.52553,                 1.0603,                0.85125,               0.001104,               0.001104,               0.001104
                     62,                0.71135,                0.81948,                0.93407,                0.89923,                      1,                  0.995,                0.86735,                0.57318,                0.87233,                0.87201,              0.0011015,              0.0011015,              0.0011015
                     63,                0.67201,                0.76379,                0.90575,                0.89923,                      1,                  0.995,                0.86735,                0.57318,                0.87233,                0.87201,               0.001099,               0.001099,               0.001099
                     64,                0.72667,                0.78031,                0.91213,                0.92951,                      1,                  0.995,                0.86573,                0.60948,                0.78122,                0.89084,              0.0010965,              0.0010965,              0.0010965
                     65,                0.68526,                0.76371,                0.91751,                0.92951,                      1,                  0.995,                0.86573,                0.60948,                0.78122,                0.89084,              0.0010941,              0.0010941,              0.0010941
                     66,                 0.7375,                0.78798,                0.89836,                 0.9197,                      1,                  0.995,                0.87025,                0.61076,                0.76759,                 0.8899,              0.0010916,              0.0010916,              0.0010916
                     67,                  0.704,                0.77322,                0.90579,                 0.9197,                      1,                  0.995,                0.87025,                0.61076,                0.76759,                 0.8899,              0.0010891,              0.0010891,              0.0010891
